year,month,day,weekdays,times,result
1991,1,6,Sun,1,チョキ
1991,1,13,Sun,1,パー
1991,1,20,Sun,1,グー
1991,1,27,Sun,1,チョキ
1991,2,3,Sun,1,チョキ
1991,2,10,Sun,1,パー
1991,2,17,Sun,1,グー
1991,2,24,Sun,1,チョキ
1991,3,3,Sun,1,パー
1991,3,10,Sun,1,グー
1991,3,17,Sun,1,チョキ
1991,3,24,Sun,1,パー
1991,3,31,Sun,1,グー
1991,4,7,Sun,1,グー
1991,4,14,Sun,1,チョキ
1991,4,21,Sun,1,パー
1991,4,28,Sun,1,グー
1991,5,5,Sun,1,パー
1991,5,12,Sun,1,チョキ
1991,5,19,Sun,1,グー
1991,5,26,Sun,1,チョキ
1991,6,2,Sun,1,パー
1991,6,9,Sun,1,グー
1991,6,16,Sun,1,グー
1991,6,23,Sun,1,パー
1991,6,30,Sun,1,パー
1991,7,7,Sun,1,グー
1991,7,14,Sun,1,チョキ
1991,7,21,Sun,1,パー
1991,7,28,Sun,1,グー
1991,8,4,Sun,1,チョキ
1991,8,11,Sun,1,グー
1991,8,18,Sun,1,パー
1991,8,25,Sun,1,パー
1991,9,1,Sun,1,チョキ
1991,9,8,Sun,1,チョキ
1991,9,15,Sun,1,グー
1991,9,22,Sun,1,パー
1991,9,29,Sun,1,チョキ
1991,10,6,Sun,1,グー
1991,10,13,Sun,1,チョキ
1991,10,20,Sun,1,チョキ
1991,10,27,Sun,1,パー
1991,11,3,Sun,1,グー
1991,11,10,Sun,1,パー
1991,11,17,Sun,1,パー
1991,11,24,Sun,1,チョキ
1991,12,1,Sun,1,グー
1991,12,8,Sun,1,パー
1991,12,15,Sun,1,グー
1991,12,22,Sun,1,チョキ
1991,12,29,Sun,1,グー
1992,1,5,Sun,1,パー
1992,1,12,Sun,1,パー
1992,1,19,Sun,1,グー
1992,1,26,Sun,1,チョキ
1992,2,2,Sun,1,グー
1992,2,9,Sun,1,チョキ
1992,2,16,Sun,1,グー
1992,2,23,Sun,1,パー
1992,3,1,Sun,1,グー
1992,3,8,Sun,1,グー
1992,3,15,Sun,1,チョキ
1992,3,22,Sun,1,パー
1992,3,29,Sun,1,チョキ
1992,4,5,Sun,1,パー
1992,4,12,Sun,1,パー
1992,4,19,Sun,1,グー
1992,4,26,Sun,1,チョキ
1992,5,3,Sun,1,グー
1992,5,10,Sun,1,チョキ
1992,5,17,Sun,1,チョキ
1992,5,24,Sun,1,パー
1992,5,31,Sun,1,パー
1992,6,7,Sun,1,チョキ
1992,6,14,Sun,1,グー
1992,6,21,Sun,1,グー
1992,6,28,Sun,1,グー
1992,7,5,Sun,1,グー
1992,7,12,Sun,1,チョキ
1992,7,19,Sun,1,パー
1992,7,26,Sun,1,グー
1992,8,2,Sun,1,チョキ
1992,8,9,Sun,1,グー
1992,8,16,Sun,1,パー
1992,8,23,Sun,1,パー
1992,8,30,Sun,1,チョキ
1992,9,6,Sun,1,チョキ
1992,9,13,Sun,1,パー
1992,9,20,Sun,1,グー
1992,9,27,Sun,1,グー
1992,10,4,Sun,1,チョキ
1992,10,11,Sun,1,パー
1992,10,18,Sun,1,グー
1992,10,25,Sun,1,グー
1992,11,1,Sun,1,パー
1992,11,8,Sun,1,チョキ
1992,11,15,Sun,1,チョキ
1992,11,22,Sun,1,パー
1992,11,29,Sun,1,グー
1992,12,6,Sun,1,パー
1992,12,13,Sun,1,チョキ
1992,12,20,Sun,1,グー
1992,12,27,Sun,1,グー
1993,1,3,Sun,1,パー
1993,1,10,Sun,1,グー
1993,1,17,Sun,1,チョキ
1993,1,24,Sun,1,グー
1993,1,31,Sun,1,チョキ
1993,2,7,Sun,1,パー
1993,2,14,Sun,1,パー
1993,2,21,Sun,1,チョキ
1993,2,28,Sun,1,グー
1993,3,7,Sun,1,グー
1993,3,14,Sun,1,パー
1993,3,21,Sun,1,パー
1993,3,28,Sun,1,チョキ
1993,4,4,Sun,1,チョキ
1993,4,11,Sun,1,パー
1993,4,18,Sun,1,グー
1993,4,25,Sun,1,チョキ
1993,5,2,Sun,1,グー
1993,5,9,Sun,1,パー
1993,5,16,Sun,1,パー
1993,5,23,Sun,1,チョキ
1993,5,30,Sun,1,グー
1993,6,6,Sun,1,チョキ
1993,6,13,Sun,1,パー
1993,6,20,Sun,1,チョキ
1993,6,27,Sun,1,グー
1993,7,4,Sun,1,グー
1993,7,11,Sun,1,チョキ
1993,7,18,Sun,1,パー
1993,7,25,Sun,1,グー
1993,8,1,Sun,1,グー
1993,8,8,Sun,1,パー
1993,8,15,Sun,1,グー
1993,8,22,Sun,1,パー
1993,8,29,Sun,1,チョキ
1993,9,5,Sun,1,チョキ
1993,9,12,Sun,1,パー
1993,9,19,Sun,1,グー
1993,9,26,Sun,1,グー
1993,10,3,Sun,1,チョキ
1993,10,10,Sun,1,パー
1993,10,17,Sun,1,グー
1993,10,24,Sun,1,グー
1993,10,31,Sun,1,パー
1993,11,7,Sun,1,チョキ
1993,11,14,Sun,1,チョキ
1993,11,21,Sun,1,パー
1993,11,28,Sun,1,チョキ
1993,12,5,Sun,1,グー
1993,12,12,Sun,1,パー
1993,12,19,Sun,1,グー
1993,12,26,Sun,1,パー
1994,1,2,Sun,1,チョキ
1994,1,9,Sun,1,グー
1994,1,16,Sun,1,パー
1994,1,23,Sun,1,グー
1994,1,30,Sun,1,チョキ
1994,2,6,Sun,1,パー
1994,2,13,Sun,1,パー
1994,2,20,Sun,1,チョキ
1994,2,27,Sun,1,グー
